country_code,country_name,region,consumption_raw,consumption_norm,consumption_pts,healthcare_access_raw,healthcare_access_norm,healthcare_access_pts,gdp_raw,gdp_norm,gdp_pts,neighbor_resistance_raw,neighbor_resistance_norm,neighbor_resistance_pts,travel_raw,travel_norm,travel_pts,outbreak_raw,outbreak_norm,outbreak_pts,blindspot_risk_score
BWA,Botswana,Africa,0.0,1.0,0.25,51.1,0.489,0.0978,7491.86,0.9652,0.1448,0.1171,0.5006,0.1001,180897.62,0.0028,0.0003,5,0.125,0.0125,0.6055
URY,Uruguay,Americas,0.0,1.0,0.25,72.0,0.28,0.056,19268.6,0.9106,0.1366,0.157,0.6712,0.1342,586918.8,0.0092,0.0009,11,0.275,0.0275,0.6052
MNG,Mongolia,Asia,0.0,1.0,0.25,58.5,0.415,0.083,4739.71,0.978,0.1467,0.1284,0.549,0.1098,416321.0,0.0065,0.0006,5,0.125,0.0125,0.6026
ZMB,Zambia,Africa,24.067663645,0.3928,0.0982,41.6,0.584,0.1168,1223.13,0.9943,0.1491,0.0,1.0,0.2,142644.58,0.0022,0.0002,13,0.325,0.0325,0.5968
TLS,Timor-Leste,Asia,7.287458784,0.1189,0.0297,51.6,0.484,0.0968,1944.76,0.991,0.1486,0.0,1.0,0.2,0.0,1.0,0.1,7,0.175,0.0175,0.5926
BGR,Bulgaria,Europe,0.0,1.0,0.25,71.4,0.286,0.0572,12787.15,0.9407,0.1411,0.1443,0.6169,0.1234,536922.2,0.0084,0.0008,8,0.2,0.02,0.5925
CRI,Costa Rica,Americas,0.0,1.0,0.25,72.9,0.271,0.0542,13900.47,0.9355,0.1403,0.1246,0.5327,0.1065,1336260.4,0.021,0.0021,14,0.35,0.035,0.5881
BFA,Burkina Faso,Africa,19.710422132,0.3217,0.0804,42.9,0.571,0.1142,837.23,0.9961,0.1494,0.0,1.0,0.2,113334.2,0.0018,0.0002,16,0.4,0.04,0.5842
MAR,Morocco,Africa,0.0,1.0,0.25,61.3,0.387,0.0774,3567.79,0.9834,0.1475,0.0891,0.3809,0.0762,6790930.8,0.1066,0.0107,8,0.2,0.02,0.5818
ALB,Albania,Europe,0.0,1.0,0.25,78.2,0.218,0.0436,7367.49,0.9658,0.1449,0.1444,0.6174,0.1235,266609.6,0.0042,0.0004,7,0.175,0.0175,0.5799
ETH,Ethiopia,Africa,11.33707675275,0.185,0.0462,44.2,0.558,0.1116,910.84,0.9958,0.1494,0.0,1.0,0.2,10136066.2,0.1592,0.0159,21,0.525,0.0525,0.5756
BEN,Benin,Africa,20.805373409375,0.3395,0.0849,43.0,0.57,0.114,1262.05,0.9941,0.1491,0.0,1.0,0.2,73901.82,0.0012,0.0001,11,0.275,0.0275,0.5756
SRB,Serbia,Europe,0.0,1.0,0.25,75.4,0.246,0.0492,9568.28,0.9556,0.1433,0.1223,0.5229,0.1046,2163068.8,0.034,0.0034,10,0.25,0.025,0.5755
AND,Andorra,Europe,0.0,1.0,0.25,94.6,0.054,0.0108,42054.22,0.8048,0.1207,0.0956,0.4087,0.0817,0.0,1.0,0.1,4,0.1,0.01,0.5732
BIH,Bosnia and Herzegovina,Europe,0.0,1.0,0.25,78.2,0.218,0.0436,7173.33,0.9667,0.145,0.1372,0.5866,0.1173,3484.0,0.0001,0.0,6,0.15,0.015,0.5709
LBN,Lebanon,Asia,0.0,1.0,0.25,80.0,0.2,0.04,5128.91,0.9762,0.1464,0.118,0.5045,0.1009,2184880.4,0.0343,0.0034,11,0.275,0.0275,0.5682
EGY,Egypt,Africa,29.876307903232497,0.4876,0.1219,61.0,0.39,0.078,0.0,1.0,0.15,0.118,0.5045,0.1009,0.0,1.0,0.1,5,0.125,0.0125,0.5633
SDN,Sudan,Africa,15.162234528,0.2474,0.0618,50.1,0.499,0.0998,768.68,0.9964,0.1495,0.0,1.0,0.2,960608.64,0.0151,0.0015,16,0.4,0.04,0.5526
TUN,Tunisia,Africa,30.50909008475,0.4979,0.1245,70.1,0.299,0.0598,3728.57,0.9827,0.1474,0.0,1.0,0.2,3062045.4,0.0481,0.0048,5,0.125,0.0125,0.549
PNG,Papua New Guinea,Oceania,13.4740406295,0.2199,0.055,38.6,0.614,0.1228,2736.34,0.9873,0.1481,0.0,1.0,0.2,1404864.2,0.0221,0.0022,8,0.2,0.02,0.5481
SEN,Senegal,Africa,13.228825967866667,0.2159,0.054,44.4,0.556,0.1112,1552.49,0.9928,0.1489,0.0,1.0,0.2,674658.94,0.0106,0.0011,13,0.325,0.0325,0.5477
